,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.6216551303863526,0.06458754539489746,0.929,0.9533928374236964,1,0.125,"{'C': 1, 'gamma': 0.125}",6,0.9286224125624554,0.9537417395963564,0.9178571428571428,0.9558928571428571,0.9371428571428572,0.9496428571428571,0.93,0.9533928571428572,0.9313795568263045,0.9542938760935548,0.00901616308246365,0.000799861001913519,0.006281246819886881,0.0020613614003338492
1,1.260757827758789,0.08781776428222657,0.9294285714285714,0.9636784242768265,1,0.25,"{'C': 1, 'gamma': 0.25}",3,0.9286224125624554,0.9612430791212716,0.9192857142857143,0.9669642857142857,0.935,0.9608928571428571,0.9335714285714286,0.9639285714285715,0.9306647605432452,0.965363327977147,0.03126317217346465,0.0010204137439605787,0.005536407878055893,0.0023404550731683134
2,1.5517258167266845,0.13224215507507325,0.9292857142857143,0.9772142216449506,1,0.5,"{'C': 1, 'gamma': 0.5}",4,0.9336188436830836,0.9760671548490802,0.9164285714285715,0.9769642857142857,0.9314285714285714,0.97625,0.935,0.9789285714285715,0.9299499642601858,0.9778610962328156,0.043502424142502785,0.0021649994634395722,0.006660050376449081,0.0010644618825719776
3,1.7397161960601806,0.23061895370483398,0.9221428571428572,0.9906428952851689,1,1,"{'C': 1, 'gamma': 1}",16,0.926481084939329,0.9908912305768888,0.9092857142857143,0.9910714285714286,0.9235714285714286,0.9907142857142858,0.9292857142857143,0.9907142857142858,0.9220872051465332,0.9898232458489555,0.031126768470429778,0.0014348642961160784,0.006887729746438771,0.0004306575390191149
4,1.974921464920044,0.32065887451171876,0.88,0.997750044609832,1,2,"{'C': 1, 'gamma': 2}",25,0.8900785153461813,0.9980353634577603,0.8742857142857143,0.9978571428571429,0.885,0.9982142857142857,0.8764285714285714,0.9978571428571429,0.8741958541815582,0.9967862881628281,0.023339193183181443,0.0013175328862134207,0.006414378149408407,0.0004997385729245371
5,2.237725305557251,0.37842693328857424,0.7825714285714286,0.9996428635147142,1,4,"{'C': 1, 'gamma': 4}",30,0.7915774446823698,0.9996427933559564,0.7821428571428571,0.9998214285714285,0.7857142857142857,0.9996428571428572,0.7771428571428571,0.9996428571428572,0.7762687634024303,0.9994643813604713,0.006878216403451572,0.0010306013951707782,0.005663781196251267,0.00011290824935851082
6,0.5937649250030518,0.06057672500610352,0.9301428571428572,0.9573927418071209,2,0.125,"{'C': 2, 'gamma': 0.125}",1,0.92790863668808,0.9560635827826398,0.9242857142857143,0.9607142857142857,0.9364285714285714,0.9557142857142857,0.9328571428571428,0.9551785714285714,0.9292351679771265,0.9592929833958221,0.010794750296551336,0.0004892782931968927,0.004171385648944527,0.0021968159256448684
7,1.2675615787506103,0.08402066230773926,0.9292857142857143,0.970928469002821,2,0.25,"{'C': 2, 'gamma': 0.25}",4,0.9300499643112062,0.9683872120021433,0.92,0.9735714285714285,0.9328571428571428,0.96875,0.9321428571428572,0.9726785714285714,0.9313795568263045,0.9712551330119622,0.02741700265679113,0.0007490734373721005,0.004735153587224946,0.00206680998142186
8,1.523027276992798,0.12853965759277344,0.9278571428571428,0.9852499679243338,2,0.5,"{'C': 2, 'gamma': 0.5}",8,0.9271948608137045,0.9848187176281479,0.92,0.9851785714285715,0.9292857142857143,0.9857142857142858,0.9371428571428572,0.9848214285714286,0.9256611865618298,0.9857168362792359,0.04369034263609858,0.0007425667132834533,0.005572391056062968,0.00040206400620568906
9,1.7484995365142821,0.2314319610595703,0.9212857142857143,0.9962143494328556,2,1,"{'C': 2, 'gamma': 1}",17,0.9214846538187009,0.9964279335595642,0.9121428571428571,0.9969642857142857,0.92,0.9966071428571428,0.93,0.9964285714285714,0.9228020014295926,0.9946438136047134,0.04334179005191876,0.0007533769512601818,0.005718754464841906,0.0008092939058805621
